pixel_x,pixel_y,z_smpl_m,z_vggt_raw,scale_ratio,valid
308.0,69.0,8.664825439453125,0.886699914932251,9.771992683410645,1
308.0,70.0,8.694320678710938,0.8873261213302612,9.79833698272705,1
323.0,71.0,8.709095001220703,0.8886248469352722,9.800642967224121,1
317.0,73.0,8.62548828125,0.8864924907684326,9.72990608215332,1
327.0,74.0,8.689958572387695,0.8939909338951111,9.720410346984863,1
303.0,75.0,8.684359550476074,0.8892772197723389,9.76563835144043,1
308.0,78.0,8.784928321838379,0.8893035054206848,9.878437042236328,1
327.0,78.0,8.715863227844238,0.8909801840782166,9.782331466674805,1
315.0,79.0,8.79132080078125,0.8858317732810974,9.924367904663086,1
315.0,81.0,8.590678215026855,0.8857311606407166,9.698967933654785,1
326.0,81.0,8.639310836791992,0.8896389603614807,9.711030006408691,1
301.0,82.0,8.724289894104004,0.9040392637252808,9.650343894958496,1
302.0,83.0,8.671494483947754,0.8992902040481567,9.642598152160645,1
301.0,84.0,8.660798072814941,0.9145257472991943,9.470261573791504,1
302.0,84.0,8.732522964477539,0.8980605006217957,9.72375774383545,1
302.0,85.0,8.6602201461792,0.9002898931503296,9.619368553161621,1
304.0,85.0,8.647016525268555,0.8949968814849854,9.661504745483398,1
324.0,85.0,8.754578590393066,0.8868631720542908,9.871397018432617,1
328.0,85.0,8.710921287536621,0.894889235496521,9.734077453613281,1
301.0,86.0,8.642074584960938,0.9281312227249146,9.311264038085938,1
302.0,86.0,8.64529037475586,0.9040656685829163,9.562679290771484,1
327.0,86.0,8.63905143737793,0.8894457221031189,9.712848663330078,1
328.0,86.0,8.685763359069824,0.8946651816368103,9.708395004272461,1
329.0,86.0,8.701621055603027,0.8990035057067871,9.679184913635254,1
303.0,87.0,8.661703109741211,0.8989824056625366,9.635008811950684,1
308.0,87.0,8.611455917358398,0.8912789225578308,9.661909103393555,1
318.0,87.0,8.79061508178711,0.8855642080307007,9.926569938659668,1
323.0,87.0,8.762346267700195,0.8866296410560608,9.882758140563965,1
330.0,87.0,8.696328163146973,0.9236280918121338,9.415400505065918,1
302.0,88.0,8.6521635055542,0.9197975397109985,9.406595230102539,1
305.0,88.0,8.643835067749023,0.893953263759613,9.669224739074707,1
327.0,88.0,8.699581146240234,0.8897123336791992,9.777970314025879,1
328.0,88.0,8.699604988098145,0.8936426639556885,9.734992980957031,1
329.0,88.0,8.699573516845703,0.9117844700813293,9.541260719299316,1
330.0,88.0,8.68505573272705,0.9545099139213562,9.098968505859375,1
302.0,89.0,8.644867897033691,0.9295912981033325,9.299643516540527,1
303.0,89.0,8.651764869689941,0.9054823517799377,9.554868698120117,1
308.0,89.0,8.7924165725708,0.8913698792457581,9.863937377929688,1
310.0,89.0,8.795059204101562,0.8905121684074402,9.876405715942383,1
323.0,89.0,8.760422706604004,0.8866285085678101,9.880600929260254,1
326.0,89.0,8.632796287536621,0.889403223991394,9.706279754638672,1
327.0,89.0,8.696158409118652,0.8907101154327393,9.763175010681152,1
328.0,89.0,8.703666687011719,0.8958646655082703,9.715381622314453,1
329.0,89.0,8.695375442504883,0.9173747301101685,9.47854232788086,1
330.0,89.0,8.688729286193848,0.9648169279098511,9.005573272705078,1
302.0,90.0,8.696390151977539,0.9393593072891235,9.25778865814209,1
303.0,90.0,8.659335136413574,0.9052236676216125,9.565961837768555,1
312.0,90.0,8.797075271606445,0.8891326785087585,9.893996238708496,1
328.0,90.0,8.687838554382324,0.898259699344635,9.671855926513672,1
302.0,91.0,8.645227432250977,0.9499020576477051,9.101178169250488,1
